acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_instruction1,correct_keyboard_response,correct_response,count_ISI,count_correctFeedback,count_expSequence,count_experiment,count_experimentLoop,count_fixation,count_incorrectFeedback,count_instruction1,count_instructions2,count_keyboard_response,count_memorySet,count_new_logger,count_new_sketchpad,count_practiceLoop,count_probe,count_thankYou,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_practiceLoop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_instruction1,response_instructions2,response_keyboard_response,response_new_sketchpad,response_thankYou,response_time,response_time_instruction1,response_time_instructions2,response_time_keyboard_response,response_time_new_sketchpad,response_time_thankYou,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_ISI,time_correctFeedback,time_expSequence,time_experiment,time_experimentLoop,time_fixation,time_incorrectFeedback,time_instruction1,time_instructions2,time_keyboard_response,time_memorySet,time_new_logger,time_new_sketchpad,time_practiceLoop,time_probe,time_thankYou,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,1276,1276,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,10/27/19 10:30,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,0,0,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/Sternberg task subjects/jh-subject-3.csv,legacy,4 8,Kafkaesque Koffka,3.2.8,1,y,0,left,right,NA,left,NA,NA,1276,44341,NA,1276,NA,NA,2,legacy,2,1024,2,48000,-16,experiment,3,odd,4,52591,NA,50378,5341,NA,50380,NA,5350,NA,54599,51386,55875,NA,49692,54598,NA,Sternberg Task,1,1276,1,yes,1024
100,100,1406.5,1406.5,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,1,1,1,0,0,1,1,0,0,1,1,1,NA,0,1,0,10/27/19 10:30,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,1,1,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/Sternberg task subjects/jh-subject-3.csv,legacy,3 1 9 4,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,NA,1537,44341,NA,1537,NA,NA,2,legacy,4,1024,2,48000,-16,experiment,3,odd,6,59300,55967,57086,5341,NA,57089,NA,5350,NA,61306,58094,62844,NA,49692,61305,NA,Sternberg Task,2,2813,2,yes,1024
100,100,1340.666667,1340.666667,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,2,2,2,0,0,2,2,0,0,2,2,2,NA,0,2,0,10/27/19 10:30,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,2,2,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/Sternberg task subjects/jh-subject-3.csv,legacy,4 1 5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,NA,1209,44341,NA,1209,NA,NA,2,legacy,3,1024,2,48000,-16,experiment,3,odd,2,66197,62868,63984,5341,NA,63986,NA,5350,NA,68202,64992,69411,NA,49692,68202,NA,Sternberg Task,3,4022,3,yes,1024
100,100,1276,1276,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,3,3,3,0,0,3,3,0,0,3,3,3,NA,0,3,0,10/27/19 10:30,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,3,3,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/Sternberg task subjects/jh-subject-3.csv,legacy,5 7 8 4 1 2,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,NA,1082,44341,NA,1082,NA,NA,2,legacy,6,1024,2,48000,-16,experiment,3,odd,6,72763,69435,70549,5341,NA,70552,NA,5350,NA,74769,71558,75852,NA,49692,74768,NA,Sternberg Task,4,5104,4,yes,1024
100,100,1191.8,1191.8,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,4,4,4,0,0,4,4,0,0,4,4,4,NA,0,4,0,10/27/19 10:30,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,4,4,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/Sternberg task subjects/jh-subject-3.csv,legacy,5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,NA,855,44341,NA,855,NA,NA,2,legacy,1,1024,2,48000,-16,experiment,3,odd,3,79229,75878,77016,5341,NA,77018,NA,5350,NA,81236,78023,82092,NA,49692,81235,NA,Sternberg Task,5,5959,5,yes,1024
100,100,1222.333333,1222.333333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,5,5,5,0,0,5,5,0,0,5,5,5,NA,0,5,0,10/27/19 10:30,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,5,5,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/Sternberg task subjects/jh-subject-3.csv,legacy,1 7 9 8 5,Kafkaesque Koffka,3.2.8,4,y,0,left,right,NA,left,NA,NA,1375,44341,NA,1375,NA,NA,2,legacy,5,1024,2,48000,-16,experiment,3,odd,8,85447,82121,83237,5341,NA,83239,NA,5350,NA,87453,84241,88828,NA,49692,87452,NA,Sternberg Task,6,7334,6,yes,1024
100,100,1277.857143,1277.857143,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,6,6,6,0,0,6,6,0,0,6,6,6,NA,0,6,0,10/27/19 10:30,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,6,6,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/Sternberg task subjects/jh-subject-3.csv,legacy,4 3 1 7 9 8,Kafkaesque Koffka,3.2.8,1,y,0,left,right,NA,left,NA,NA,1611,44341,NA,1611,NA,NA,2,legacy,6,1024,2,48000,-16,experiment,3,odd,4,92195,88854,89982,5341,NA,89984,NA,5350,NA,94200,90990,95811,NA,49692,94200,NA,Sternberg Task,7,8945,7,yes,1024
100,100,1193.875,1193.875,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,7,7,7,0,0,7,7,0,0,7,7,7,NA,0,7,0,10/27/19 10:30,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,7,7,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/Sternberg task subjects/jh-subject-3.csv,legacy,6,Kafkaesque Koffka,3.2.8,1,y,0,left,right,NA,left,NA,NA,606,44341,NA,606,NA,NA,2,legacy,1,1024,2,48000,-16,experiment,3,odd,6,99175,95859,96961,5341,NA,96964,NA,5350,NA,101181,97969,101787,NA,49692,101181,NA,Sternberg Task,8,9551,8,yes,1024
100,100,1185.333333,1185.333333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,8,8,8,0,0,8,8,0,0,8,8,8,NA,0,8,0,10/27/19 10:30,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,8,8,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/Sternberg task subjects/jh-subject-3.csv,legacy,1 5 2 9,Kafkaesque Koffka,3.2.8,2,y,0,left,right,NA,left,NA,NA,1117,44341,NA,1117,NA,NA,2,legacy,4,1024,2,48000,-16,experiment,3,odd,5,105128,101814,102918,5341,NA,102920,NA,5350,NA,107134,103923,108251,NA,49692,107134,NA,Sternberg Task,9,10668,9,yes,1024
100,100,1172.9,1172.9,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,9,9,9,0,0,9,9,0,0,9,9,9,NA,0,9,0,10/27/19 10:30,The main experiment item,yes,SternbergTask.osexp,C:\Users\Jeanette\Desktop\Jeanette Master's\AQM&ED,no,mono,no,18,no,white,no,yes,768,legacy,9,9,C:/Users/Jeanette/Desktop/Jeanette Master's/AQM&ED/Sternberg task subjects/jh-subject-3.csv,legacy,9 6 7 4 5,Kafkaesque Koffka,3.2.8,0,n,0,right,right,NA,right,NA,NA,1061,44341,NA,1061,NA,NA,2,legacy,5,1024,2,48000,-16,experiment,3,odd,3,111584,108274,109371,5341,NA,109374,NA,5350,NA,113590,110379,114651,NA,49692,113590,NA,Sternberg Task,10,11729,10,yes,1024
