"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","condition","coordinates","correct","correct_Instructions1","correct_keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_ISI","count_Instructions1","count_Instructions2","count_Instructions3","count_Sequence","count_errorFeedback","count_experiment","count_faster","count_finish","count_fixation","count_getting_started","count_keyboard_response","count_logger","count_new_loop","count_new_sketchpad","count_stimulus","count_welcome","datetime","deadline","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Instructions1","response_Instructions2","response_Instructions3","response_finish","response_keyboard_response","response_new_sketchpad","response_time","response_time_Instructions1","response_time_Instructions2","response_time_Instructions3","response_time_finish","response_time_keyboard_response","response_time_new_sketchpad","response_time_welcome","response_welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_ISI","time_Instructions1","time_Instructions2","time_Instructions3","time_Sequence","time_errorFeedback","time_experiment","time_faster","time_finish","time_fixation","time_getting_started","time_keyboard_response","time_logger","time_new_loop","time_new_sketchpad","time_stimulus","time_welcome","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","864","864","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","0","0","Sun Sep 25 13:25:58 2022","1500","The main experiment item","yes","NA","KH-Subject-1.osexp","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design","no","mono","no","18","no","white","no","no","768","legacy","0","0","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design/KH-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","s","NA","NA","NA","h","NA","864","108467","NA","NA","NA","864","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","110740","NA","NA","NA","2254","NA","NA","110782","NA","2123","NA","NA","110786","NA","110892","111756","NA","NA","110892","NA","Flanker Task","1","864","1","yes","1024"
"100","100","734.5","734.5","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","1","0","0","0","1","1","0","1","0","1","0","1","1","NA","NA","1","0","Sun Sep 25 13:25:58 2022","1500","The main experiment item","yes","NA","KH-Subject-1.osexp","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design","no","mono","no","18","no","white","no","no","768","legacy","1","1","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design/KH-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","s","NA","NA","NA","s","NA","605","108467","NA","NA","NA","605","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","110740","NA","NA","111762","2254","NA","NA","112842","NA","2123","NA","NA","112846","NA","112951","113557","NA","NA","112951","NA","Flanker Task","2","1469","2","yes","1024"
"100","100","650.3333333333334","650.3333333333334","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","2","0","0","0","2","2","0","2","0","2","0","2","2","NA","NA","2","0","Sun Sep 25 13:25:58 2022","1500","The main experiment item","yes","NA","KH-Subject-1.osexp","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design","no","mono","no","18","no","white","no","no","768","legacy","2","2","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design/KH-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","s","NA","NA","NA","s","NA","482","108467","NA","NA","NA","482","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","110740","NA","NA","113562","2254","NA","NA","114635","NA","2123","NA","NA","114638","NA","114744","115237","NA","NA","114744","NA","Flanker Task","3","1951","3","yes","1024"
"100","100","608","608","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","3","0","0","0","3","3","0","3","0","3","0","3","3","NA","NA","3","0","Sun Sep 25 13:25:58 2022","1500","The main experiment item","yes","NA","KH-Subject-1.osexp","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design","no","mono","no","18","no","white","no","no","768","legacy","3","3","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design/KH-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","s","NA","NA","NA","s","NA","481","108467","NA","NA","NA","481","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","110740","NA","NA","115241","2254","NA","NA","116326","NA","2123","NA","NA","116330","NA","116435","116916","NA","NA","116435","NA","Flanker Task","4","2432","4","yes","1024"
"100","100","591.4","591.4","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","4","0","0","0","4","4","0","4","0","4","0","4","4","NA","NA","4","0","Sun Sep 25 13:25:58 2022","1500","The main experiment item","yes","NA","KH-Subject-1.osexp","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design","no","mono","no","18","no","white","no","no","768","legacy","4","4","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design/KH-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","s","NA","NA","NA","h","NA","525","108467","NA","NA","NA","525","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","110740","NA","NA","116921","2254","NA","NA","117999","NA","2123","NA","NA","118003","NA","118109","118635","NA","NA","118108","NA","Flanker Task","5","2957","5","yes","1024"
"83.33333333333333","83.33333333333333","581.3333333333334","581.3333333333334","black","legacy","legacy","legacy","0","incongruent","uniform","0","undefined","0","h","0","0","0","5","0","0","0","5","5","0","5","0","5","0","5","5","NA","NA","5","0","Sun Sep 25 13:25:58 2022","1500","The main experiment item","yes","NA","KH-Subject-1.osexp","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design","no","mono","no","18","no","white","no","no","768","legacy","5","5","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design/KH-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","s","NA","NA","NA","s","NA","531","108467","NA","NA","NA","531","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","110740","NA","NA","118639","2254","NA","NA","119717","NA","2123","NA","NA","119721","NA","119826","120358","NA","NA","119826","NA","Flanker Task","5","3488","6","yes","1024"
"85.71428571428571","85.71428571428571","599","599","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","6","0","0","0","6","6","0","6","0","6","0","6","6","NA","NA","6","0","Sun Sep 25 13:25:58 2022","1500","The main experiment item","yes","NA","KH-Subject-1.osexp","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design","no","mono","no","18","no","white","no","no","768","legacy","6","6","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design/KH-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","s","NA","NA","NA","h","NA","705","108467","NA","NA","NA","705","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","110740","NA","NA","120873","2254","NA","NA","121951","120362","2123","NA","NA","121954","NA","122059","122764","NA","NA","122059","NA","Flanker Task","6","4193","7","yes","1024"
"87.5","87.5","598.75","598.75","black","legacy","legacy","legacy","0","incongruent","uniform","1","undefined","1","h","0","0","0","7","0","0","0","7","7","0","7","0","7","0","7","7","NA","NA","7","0","Sun Sep 25 13:25:58 2022","1500","The main experiment item","yes","NA","KH-Subject-1.osexp","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design","no","mono","no","18","no","white","no","no","768","legacy","7","7","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design/KH-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","s","NA","NA","NA","h","NA","597","108467","NA","NA","NA","597","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSHSS","4","even","110740","NA","NA","122769","2254","NA","NA","123847","120362","2123","NA","NA","123851","NA","123957","124555","NA","NA","123957","NA","Flanker Task","7","4790","8","yes","1024"
"88.88888888888889","88.88888888888889","595.4444444444445","595.4444444444445","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","h","0","0","0","8","0","0","0","8","8","0","8","0","8","0","8","8","NA","NA","8","0","Sun Sep 25 13:25:58 2022","1500","The main experiment item","yes","NA","KH-Subject-1.osexp","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design","no","mono","no","18","no","white","no","no","768","legacy","8","8","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design/KH-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","h","s","NA","NA","NA","h","NA","569","108467","NA","NA","NA","569","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","HHHHH","4","even","110740","NA","NA","124560","2254","NA","NA","125633","120362","2123","NA","NA","125636","NA","125741","126311","NA","NA","125741","NA","Flanker Task","8","5359","9","yes","1024"
"90","90","597.1","597.1","black","legacy","legacy","legacy","0","congruent","uniform","1","undefined","1","s","0","0","0","9","0","0","0","9","9","0","9","0","9","0","9","9","NA","NA","9","0","Sun Sep 25 13:25:58 2022","1500","The main experiment item","yes","NA","KH-Subject-1.osexp","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design","no","mono","no","18","no","white","no","no","768","legacy","9","9","/Users/keelihatcher/Desktop/Tarleton M.D./Advanced Quantitative Methods & Experimental Design/KH-subject-4.csv","legacy","Lentiform Loewenfeld","3.3.12","0","s","s","NA","NA","NA","s","NA","612","108467","NA","NA","NA","612","NA","NA","NA","2","legacy","1024","2","48000","-16","experiment","SSSSS","4","even","110740","NA","NA","126315","2254","NA","NA","127386","120362","2123","NA","NA","127390","NA","127496","128109","NA","NA","127496","NA","Flanker Task","9","5971","10","yes","1024"
