"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","condition","correct","correct_Instructions1","correct_Keyboard_response","correct_response","count_Block1","count_Block2","count_Block3","count_ErrorFeedback","count_Faster","count_Finish","count_Fixation","count_ISI","count_Instructions1","count_Instructions2","count_Instructions3","count_Keyboard_response","count_Logger","count_Sequence","count_Stimulus","count_experiment","datetime","deadline","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_Block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Finish","response_Instructions1","response_Instructions2","response_Instructions3","response_Keyboard_response","response_time","response_time_Finish","response_time_Instructions1","response_time_Instructions2","response_time_Instructions3","response_time_Keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stimulus","subject_nr","subject_parity","time_Block1","time_Block2","time_Block3","time_ErrorFeedback","time_Faster","time_Finish","time_Fixation","time_ISI","time_Instructions1","time_Instructions2","time_Instructions3","time_Keyboard_response","time_Logger","time_Sequence","time_Stimulus","time_experiment","title","total_correct","total_response_time","total_responses","width"
"100","100","1250","1250","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Mon Sep 18 14:52:55 2023","1500","The main experiment item","False","FlankerEffectTest.osexp","C:/Users/stcka/OneDrive/Sam Docs/Psychology Program/AP Textbooks/Quantitative Methods","False","mono","False","18","no","white","no","yes","768","legacy","0","0","C:/Users/stcka/OneDrive/Sam Docs/Psychology Program/AP Textbooks/Quantitative Methods/SA-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","s","NA","NA","h","1250.0","NA","7137","NA","NA","1250","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","10559","NA","NA","NA","NA","NA","10657","NA","3421","NA","NA","10760","12011","10656","10758","3419","Flanker Effect Test","1","1250.0","1","1024"
"100","100","984","984","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","1","1","0","1","1","0","0","0","1","1","1","1","0","Mon Sep 18 14:52:55 2023","1500","The main experiment item","False","FlankerEffectTest.osexp","C:/Users/stcka/OneDrive/Sam Docs/Psychology Program/AP Textbooks/Quantitative Methods","False","mono","False","18","no","white","no","yes","768","legacy","1","1","C:/Users/stcka/OneDrive/Sam Docs/Psychology Program/AP Textbooks/Quantitative Methods/SA-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","s","NA","NA","s","718.0","NA","7137","NA","NA","718","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","10559","NA","NA","NA","NA","NA","13042","12019","3421","NA","NA","13142","13860","13041","13142","3419","Flanker Effect Test","2","1968.0","2","1024"
"100","100","848","848","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","2","2","0","2","2","0","0","0","2","2","2","2","0","Mon Sep 18 14:52:55 2023","1500","The main experiment item","False","FlankerEffectTest.osexp","C:/Users/stcka/OneDrive/Sam Docs/Psychology Program/AP Textbooks/Quantitative Methods","False","mono","False","18","no","white","no","yes","768","legacy","2","2","C:/Users/stcka/OneDrive/Sam Docs/Psychology Program/AP Textbooks/Quantitative Methods/SA-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","s","NA","NA","s","578.0","NA","7137","NA","NA","578","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","10559","NA","NA","NA","NA","NA","14890","13865","3421","NA","NA","14990","15569","14889","14990","3419","Flanker Effect Test","3","2546.0","3","1024"
"100","100","757","757","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","3","3","0","3","3","0","0","0","3","3","3","3","0","Mon Sep 18 14:52:55 2023","1500","The main experiment item","False","FlankerEffectTest.osexp","C:/Users/stcka/OneDrive/Sam Docs/Psychology Program/AP Textbooks/Quantitative Methods","False","mono","False","18","no","white","no","yes","768","legacy","3","3","C:/Users/stcka/OneDrive/Sam Docs/Psychology Program/AP Textbooks/Quantitative Methods/SA-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","s","NA","NA","s","482.0","NA","7137","NA","NA","482","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","10559","NA","NA","NA","NA","NA","16595","15573","3421","NA","NA","16696","17178","16593","16695","3419","Flanker Effect Test","4","3028.0","4","1024"
"100","100","696","696","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","4","4","0","4","4","0","0","0","4","4","4","4","0","Mon Sep 18 14:52:55 2023","1500","The main experiment item","False","FlankerEffectTest.osexp","C:/Users/stcka/OneDrive/Sam Docs/Psychology Program/AP Textbooks/Quantitative Methods","False","mono","False","18","no","white","no","yes","768","legacy","4","4","C:/Users/stcka/OneDrive/Sam Docs/Psychology Program/AP Textbooks/Quantitative Methods/SA-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","s","NA","NA","s","455.0","NA","7137","NA","NA","455","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","10559","NA","NA","NA","NA","NA","18221","17183","3421","NA","NA","18322","18777","18219","18321","3419","Flanker Effect Test","5","3483.0","5","1024"
"100","100","655","655","#3d3846","legacy","legacy","legacy","incongruent","1","undefined","1","h","0","0","0","5","5","0","5","5","0","0","0","5","5","5","5","0","Mon Sep 18 14:52:55 2023","1500","The main experiment item","False","FlankerEffectTest.osexp","C:/Users/stcka/OneDrive/Sam Docs/Psychology Program/AP Textbooks/Quantitative Methods","False","mono","False","18","no","white","no","yes","768","legacy","5","5","C:/Users/stcka/OneDrive/Sam Docs/Psychology Program/AP Textbooks/Quantitative Methods/SA-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","s","NA","NA","h","447.0","NA","7137","NA","NA","447","2","legacy","1024","2","48000","-16","experiment","SSHSS","1","odd","10559","NA","NA","NA","NA","NA","19805","18782","3421","NA","NA","19905","20353","19804","19905","3419","Flanker Effect Test","6","3930.0","6","1024"
"100","100","631","631","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","s","0","0","0","6","6","0","6","6","0","0","0","6","6","6","6","0","Mon Sep 18 14:52:55 2023","1500","The main experiment item","False","FlankerEffectTest.osexp","C:/Users/stcka/OneDrive/Sam Docs/Psychology Program/AP Textbooks/Quantitative Methods","False","mono","False","18","no","white","no","yes","768","legacy","6","6","C:/Users/stcka/OneDrive/Sam Docs/Psychology Program/AP Textbooks/Quantitative Methods/SA-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","s","NA","s","NA","NA","s","487.0","NA","7137","NA","NA","487","2","legacy","1024","2","48000","-16","experiment","SSSSS","1","odd","10559","NA","NA","NA","NA","NA","21381","20359","3421","NA","NA","21482","21970","21380","21482","3419","Flanker Effect Test","7","4417.0","7","1024"
"87","87","621","621","#3d3846","legacy","legacy","legacy","incongruent","0","undefined","0","s","0","0","0","7","7","0","7","7","0","0","0","7","7","7","7","0","Mon Sep 18 14:52:55 2023","1500","The main experiment item","False","FlankerEffectTest.osexp","C:/Users/stcka/OneDrive/Sam Docs/Psychology Program/AP Textbooks/Quantitative Methods","False","mono","False","18","no","white","no","yes","768","legacy","7","7","C:/Users/stcka/OneDrive/Sam Docs/Psychology Program/AP Textbooks/Quantitative Methods/SA-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","s","NA","NA","h","555.0","NA","7137","NA","NA","555","2","legacy","1024","2","48000","-16","experiment","HHSHH","1","odd","10559","NA","NA","NA","NA","NA","22995","21974","3421","NA","NA","23095","23651","22994","23095","3419","Flanker Effect Test","7","4972.0","8","1024"
"88","88","702","702","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","8","8","0","8","8","0","0","0","8","8","8","8","0","Mon Sep 18 14:52:55 2023","1500","The main experiment item","False","FlankerEffectTest.osexp","C:/Users/stcka/OneDrive/Sam Docs/Psychology Program/AP Textbooks/Quantitative Methods","False","mono","False","18","no","white","no","yes","768","legacy","8","8","C:/Users/stcka/OneDrive/Sam Docs/Psychology Program/AP Textbooks/Quantitative Methods/SA-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","s","NA","NA","h","1349.0","NA","7137","NA","NA","1349","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","10559","NA","NA","23655","NA","NA","25181","24156","3421","NA","NA","25282","26631","25180","25281","3419","Flanker Effect Test","8","6321.0","9","1024"
"90","90","706","706","#3d3846","legacy","legacy","legacy","congruent","1","undefined","1","h","0","0","0","9","9","0","9","9","0","0","0","9","9","9","9","0","Mon Sep 18 14:52:55 2023","1500","The main experiment item","False","FlankerEffectTest.osexp","C:/Users/stcka/OneDrive/Sam Docs/Psychology Program/AP Textbooks/Quantitative Methods","False","mono","False","18","no","white","no","yes","768","legacy","9","9","C:/Users/stcka/OneDrive/Sam Docs/Psychology Program/AP Textbooks/Quantitative Methods/SA-subject-1.csv","legacy","Melodramatic Milgram","4.0.5","0","h","NA","s","NA","NA","h","740.0","NA","7137","NA","NA","740","2","legacy","1024","2","48000","-16","experiment","HHHHH","1","odd","10559","NA","NA","23655","NA","NA","27659","26635","3421","NA","NA","27760","28501","27657","27760","3419","Flanker Effect Test","9","7061.0","10","1024"
