acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_Instructions1,correct_keyboardresponse,correct_response,count_Block1,count_Block2,count_Finish,count_Fixation,count_ISI,count_Instructions1,count_Instructions2,count_Instructions3,count_Sequence,count_Stimulus,count_block3,count_errorFeedback,count_experiment,count_faster,count_getting_started,count_keyboardresponse,count_logger,count_welcome,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Finish,response_Instructions1,response_Instructions2,response_Instructions3,response_keyboardresponse,response_time,response_time_Finish,response_time_Instructions1,response_time_Instructions2,response_time_Instructions3,response_time_keyboardresponse,response_time_welcome,response_welcome,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Finish,time_Fixation,time_ISI,time_Instructions1,time_Instructions2,time_Instructions3,time_Sequence,time_Stimulus,time_block3,time_errorFeedback,time_experiment,time_faster,time_getting_started,time_keyboardresponse,time_logger,time_welcome,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,634,634,#000000,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,9/26/2021 18:23,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,0,0,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-4.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,h,NA,NA,s,634,NA,5729,NA,NA,634,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,9104,NA,NA,9439,NA,3374,NA,NA,9434,9541,NA,NA,3371,NA,NA,9542,10177,NA,Lab 2.1 Test Flanker Task,1,634,1,yes,1024
50,50,502,502,#000000,legacy,legacy,legacy,0,incongruent,uniform,0,undefined,0,h,0,0,0,1,1,0,0,0,1,1,0,1,0,1,NA,1,1,NA,9/26/2021 18:23,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,1,1,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-4.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,h,NA,NA,s,370,NA,5729,NA,NA,370,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,9104,NA,NA,11467,10368,3374,NA,NA,11465,11569,NA,NA,3371,NA,NA,11569,11940,NA,Lab 2.1 Test Flanker Task,1,1004,2,yes,1024
66.66666667,66.66666667,484,484,#000000,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,2,2,0,0,0,2,2,0,2,0,2,NA,2,2,NA,9/26/2021 18:23,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,2,2,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-4.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,h,NA,NA,h,448,NA,5729,NA,NA,448,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,9104,NA,NA,13788,12684,3374,NA,NA,13786,13891,NA,12177,3371,NA,NA,13891,14339,NA,Lab 2.1 Test Flanker Task,2,1452,3,yes,1024
75,75,451.5,451.5,#000000,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,3,3,0,0,0,3,3,0,3,0,3,NA,3,3,NA,9/26/2021 18:23,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,3,3,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-4.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,h,NA,NA,h,354,NA,5729,NA,NA,354,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,9104,NA,NA,15502,14402,3374,NA,NA,15500,15607,NA,12177,3371,NA,NA,15607,15962,NA,Lab 2.1 Test Flanker Task,3,1806,4,yes,1024
60,60,438,438,#000000,legacy,legacy,legacy,0,congruent,uniform,0,undefined,0,h,0,0,0,4,4,0,0,0,4,4,0,4,0,4,NA,4,4,NA,9/26/2021 18:23,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,4,4,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-4.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,h,NA,NA,s,384,NA,5729,NA,NA,384,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,9104,NA,NA,17102,16022,3374,NA,NA,17100,17207,NA,12177,3371,NA,NA,17207,17591,NA,Lab 2.1 Test Flanker Task,3,2190,5,yes,1024
66.66666667,66.66666667,427.1666667,427.1666667,#000000,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,5,5,0,0,0,5,5,0,5,0,5,NA,5,5,NA,9/26/2021 18:23,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,5,5,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-4.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,h,NA,NA,h,373,NA,5729,NA,NA,373,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,9104,NA,NA,19245,18146,3374,NA,NA,19242,19349,NA,17645,3371,NA,NA,19349,19723,NA,Lab 2.1 Test Flanker Task,4,2563,6,yes,1024
71.42857143,71.42857143,421,421,#000000,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,6,6,0,0,0,6,6,0,6,0,6,NA,6,6,NA,9/26/2021 18:23,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,6,6,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-4.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,h,NA,NA,s,384,NA,5729,NA,NA,384,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,9104,NA,NA,20868,19753,3374,NA,NA,20866,20974,NA,17645,3371,NA,NA,20974,21358,NA,Lab 2.1 Test Flanker Task,5,2947,7,yes,1024
75,75,414,414,#000000,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,7,7,0,0,0,7,7,0,7,0,7,NA,7,7,NA,9/26/2021 18:23,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,7,7,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-4.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,h,NA,NA,s,365,NA,5729,NA,NA,365,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,9104,NA,NA,22608,21491,3374,NA,NA,22606,22713,NA,17645,3371,NA,NA,22713,23078,NA,Lab 2.1 Test Flanker Task,6,3312,8,yes,1024
77.77777778,77.77777778,411.7777778,411.7777778,#000000,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,8,8,0,0,0,8,8,0,8,0,8,NA,8,8,NA,9/26/2021 18:23,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,8,8,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-4.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,h,NA,NA,h,394,NA,5729,NA,NA,394,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,9104,NA,NA,24255,23131,3374,NA,NA,24252,24360,NA,17645,3371,NA,NA,24360,24755,NA,Lab 2.1 Test Flanker Task,7,3706,9,yes,1024
80,80,408.3,408.3,#000000,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,9,9,0,0,0,9,9,0,9,0,9,NA,9,9,NA,9/26/2021 18:23,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,9,9,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-4.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,h,NA,NA,h,377,NA,5729,NA,NA,377,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,9104,NA,NA,25937,24809,3374,NA,NA,25935,26044,NA,17645,3371,NA,NA,26044,26421,NA,Lab 2.1 Test Flanker Task,8,4083,10,yes,1024
