acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_Instructions1,correct_keyboardresponse,correct_response,count_Block1,count_Block2,count_Finish,count_Fixation,count_ISI,count_Instructions1,count_Instructions2,count_Instructions3,count_Sequence,count_Stimulus,count_block3,count_errorFeedback,count_experiment,count_faster,count_getting_started,count_keyboardresponse,count_logger,count_welcome,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_Finish,response_Instructions1,response_Instructions2,response_Instructions3,response_keyboardresponse,response_time,response_time_Finish,response_time_Instructions1,response_time_Instructions2,response_time_Instructions3,response_time_keyboardresponse,response_time_welcome,response_welcome,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Finish,time_Fixation,time_ISI,time_Instructions1,time_Instructions2,time_Instructions3,time_Sequence,time_Stimulus,time_block3,time_errorFeedback,time_experiment,time_faster,time_getting_started,time_keyboardresponse,time_logger,time_welcome,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,507,507,#000000,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,9/25/2021 17:51,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,0,0,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-1.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,h,NA,NA,h,507,NA,11609,NA,NA,507,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,15659,NA,NA,15930,NA,4050,NA,NA,15928,16035,NA,NA,4047,NA,NA,16035,16543,NA,Lab 2.1 Test Flanker Task,1,507,1,yes,1024
100,100,482,482,#000000,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,1,1,0,0,0,1,1,0,1,0,1,NA,1,1,NA,9/25/2021 17:51,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,1,1,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-1.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,h,NA,NA,s,457,NA,11609,NA,NA,457,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,15659,NA,NA,17704,16577,4050,NA,NA,17701,17810,NA,NA,4047,NA,NA,17810,18268,NA,Lab 2.1 Test Flanker Task,2,964,2,yes,1024
100,100,448.3333333,448.3333333,#000000,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,2,2,0,0,0,2,2,0,2,0,2,NA,2,2,NA,9/25/2021 17:51,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,2,2,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-1.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,h,NA,NA,h,381,NA,11609,NA,NA,381,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,15659,NA,NA,19446,18325,4050,NA,NA,19443,19553,NA,NA,4047,NA,NA,19553,19935,NA,Lab 2.1 Test Flanker Task,3,1345,3,yes,1024
100,100,423.75,423.75,#000000,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,3,3,0,0,0,3,3,0,3,0,3,NA,3,3,NA,9/25/2021 17:51,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,3,3,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-1.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,h,NA,NA,s,350,NA,11609,NA,NA,350,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,15659,NA,NA,21100,19992,4050,NA,NA,21097,21205,NA,NA,4047,NA,NA,21205,21557,NA,Lab 2.1 Test Flanker Task,4,1695,4,yes,1024
100,100,449.6,449.6,#000000,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,4,4,0,0,0,4,4,0,4,0,4,NA,4,4,NA,9/25/2021 17:51,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,4,4,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-1.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,h,NA,NA,h,553,NA,11609,NA,NA,553,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,15659,NA,NA,22693,21583,4050,NA,NA,22691,22798,NA,NA,4047,NA,NA,22798,23351,NA,Lab 2.1 Test Flanker Task,5,2248,5,yes,1024
100,100,451.6666667,451.6666667,#000000,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,5,5,0,0,0,5,5,0,5,0,5,NA,5,5,NA,9/25/2021 17:51,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,5,5,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-1.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,h,NA,NA,h,462,NA,11609,NA,NA,462,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,15659,NA,NA,24517,23403,4050,NA,NA,24515,24622,NA,NA,4047,NA,NA,24623,25085,NA,Lab 2.1 Test Flanker Task,6,2710,6,yes,1024
100,100,440.2857143,440.2857143,#000000,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,6,6,0,0,0,6,6,0,6,0,6,NA,6,6,NA,9/25/2021 17:51,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,6,6,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-1.csv,legacy,Lentiform Loewenfeld,3.3.9,0,s,NA,h,NA,NA,s,372,NA,11609,NA,NA,372,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSSSS,1,odd,15659,NA,NA,26255,25137,4050,NA,NA,26253,26360,NA,NA,4047,NA,NA,26360,26732,NA,Lab 2.1 Test Flanker Task,7,3082,7,yes,1024
100,100,431.75,431.75,#000000,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,7,7,0,0,0,7,7,0,7,0,7,NA,7,7,NA,9/25/2021 17:51,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,7,7,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-1.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,h,NA,NA,h,372,NA,11609,NA,NA,372,NA,NA,2,legacy,1024,2,48000,-16,experiment,SSHSS,1,odd,15659,NA,NA,27902,26779,4050,NA,NA,27900,28004,NA,NA,4047,NA,NA,28004,28377,NA,Lab 2.1 Test Flanker Task,8,3454,8,yes,1024
100,100,422,422,#000000,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,8,8,0,0,0,8,8,0,8,0,8,NA,8,8,NA,9/25/2021 17:51,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,8,8,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-1.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,h,NA,NA,h,344,NA,11609,NA,NA,344,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,15659,NA,NA,29531,28424,4050,NA,NA,29528,29636,NA,NA,4047,NA,NA,29637,29982,NA,Lab 2.1 Test Flanker Task,9,3798,9,yes,1024
100,100,419.2,419.2,#000000,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,9,9,0,0,0,9,9,0,9,0,9,NA,9,9,NA,9/25/2021 17:51,1500,The main experiment item,yes,Lab21TestFlankerTask.osexp,C:\Users\mmcel\OneDrive\GRAD SCHOOL\fall 2021\Advanced Quant,no,mono,no,18,no,#ffffff,no,yes,768,legacy,9,9,C:/Users/mmcel/OneDrive/GRAD SCHOOL/fall 2021/Advanced Quant/MM-Subject-1.csv,legacy,Lentiform Loewenfeld,3.3.9,0,h,NA,h,NA,NA,h,394,NA,11609,NA,NA,394,NA,NA,2,legacy,1024,2,48000,-16,experiment,HHHHH,1,odd,15659,NA,NA,31147,30037,4050,NA,NA,31145,31252,NA,NA,4047,NA,NA,31253,31648,NA,Lab 2.1 Test Flanker Task,10,4192,10,yes,1024
