acc,accuracy,average_response_time,avg_rt,background,block,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_Instruction_1,correct_Keyboard_Response,correct_response,count_Correct_Feedback,count_Experimental_Loop,count_Fixation,count_ISI,count_Incorrect_Feedback,count_Instruction_1,count_Instructions_2,count_Instructions_3_Thanks,count_Keyboard_Response,count_Logger,count_Memory_Set,count_Practice_Loop,count_Probe,count_expSequence,count_experiment,count_new_sketchpad,datetime,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Practice_Loop,logfile,mouse_backend,numberSet,opensesame_codename,opensesame_version,posInSet,present,repeat_cycle,response,response_Incorrect_Feedback,response_Instruction_1,response_Instructions_2,response_Instructions_3_Thanks,response_Keyboard_Response,response_new_sketchpad,response_time,response_time_Incorrect_Feedback,response_time_Instruction_1,response_time_Instructions_2,response_time_Instructions_3_Thanks,response_time_Keyboard_Response,response_time_new_sketchpad,round_decimals,sampler_backend,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,target,time_Correct_Feedback,time_Experimental_Loop,time_Fixation,time_ISI,time_Incorrect_Feedback,time_Instruction_1,time_Instructions_2,time_Instructions_3_Thanks,time_Keyboard_Response,time_Logger,time_Memory_Set,time_Practice_Loop,time_Probe,time_expSequence,time_experiment,time_new_sketchpad,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,811,811,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Sun Oct 18 19:08:55 2020,The main experiment item,yes,SternbergTask.osexp,C:/Users/JHS6-EAGLE/Desktop/OpenSes Files,no,mono,no,18,no,white,no,no,768,legacy,0,0,C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/JS-subject-1.csv,legacy,2 9 4,Lentiform Loewenfeld,3.3.3,3,y,0,left,NA,right,NA,NA,left,NA,811,NA,26462,NA,NA,811,NA,2,legacy,3,1024,2,48000,-16,experiment,1,odd,4,NA,NA,28012,30214,NA,1324,NA,NA,32215,33026,29013,27787,32215,28008,1320,NA,Sternberg Task,1,811,1,yes,1024
100,100,1189,1189,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,NA,Sun Oct 18 19:08:55 2020,The main experiment item,yes,SternbergTask.osexp,C:/Users/JHS6-EAGLE/Desktop/OpenSes Files,no,mono,no,18,no,white,no,no,768,legacy,1,1,C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/JS-subject-1.csv,legacy,6,Lentiform Loewenfeld,3.3.3,1,y,0,left,NA,right,NA,NA,left,NA,1567,NA,26462,NA,NA,1567,NA,2,legacy,1,1024,2,48000,-16,experiment,1,odd,6,33075,NA,34176,36378,NA,1324,NA,NA,38379,39946,35177,27787,38379,34174,1320,NA,Sternberg Task,2,2378,2,yes,1024
100,100,987.3333333,987.3333333,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,2,0,2,2,2,0,0,0,2,2,2,0,2,2,0,NA,Sun Oct 18 19:08:55 2020,The main experiment item,yes,SternbergTask.osexp,C:/Users/JHS6-EAGLE/Desktop/OpenSes Files,no,mono,no,18,no,white,no,no,768,legacy,2,2,C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/JS-subject-1.csv,legacy,1 5 2 9,Lentiform Loewenfeld,3.3.3,2,y,0,left,NA,right,NA,NA,left,NA,584,NA,26462,NA,NA,584,NA,2,legacy,4,1024,2,48000,-16,experiment,1,odd,5,39951,NA,41048,43254,NA,1324,NA,NA,45255,45839,42053,27787,45255,41046,1320,NA,Sternberg Task,3,2962,3,yes,1024
100,100,963,963,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,3,0,3,3,3,0,0,0,3,3,3,0,3,3,0,NA,Sun Oct 18 19:08:55 2020,The main experiment item,yes,SternbergTask.osexp,C:/Users/JHS6-EAGLE/Desktop/OpenSes Files,no,mono,no,18,no,white,no,no,768,legacy,3,3,C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/JS-subject-1.csv,legacy,4 3 1 7 9 8,Lentiform Loewenfeld,3.3.3,1,y,0,left,NA,right,NA,NA,left,NA,890,NA,26462,NA,NA,890,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,4,45853,NA,46929,49132,NA,1324,NA,NA,51133,52024,47931,27787,51133,46927,1320,NA,Sternberg Task,4,3852,4,yes,1024
100,100,892.6,892.6,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,4,0,4,4,4,0,0,0,4,4,4,0,4,4,0,NA,Sun Oct 18 19:08:55 2020,The main experiment item,yes,SternbergTask.osexp,C:/Users/JHS6-EAGLE/Desktop/OpenSes Files,no,mono,no,18,no,white,no,no,768,legacy,4,4,C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/JS-subject-1.csv,legacy,9 6 7 4 5,Lentiform Loewenfeld,3.3.3,0,n,0,right,NA,right,NA,NA,right,NA,611,NA,26462,NA,NA,611,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,3,52029,NA,53120,55323,NA,1324,NA,NA,57324,57936,54121,27787,57324,53115,1320,NA,Sternberg Task,5,4463,5,yes,1024
100,100,878.1666667,878.1666667,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,5,0,5,5,5,0,0,0,5,5,5,0,5,5,0,NA,Sun Oct 18 19:08:55 2020,The main experiment item,yes,SternbergTask.osexp,C:/Users/JHS6-EAGLE/Desktop/OpenSes Files,no,mono,no,18,no,white,no,no,768,legacy,5,5,C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/JS-subject-1.csv,legacy,4 1 5,Lentiform Loewenfeld,3.3.3,0,n,0,right,NA,right,NA,NA,right,NA,806,NA,26462,NA,NA,806,NA,2,legacy,3,1024,2,48000,-16,experiment,1,odd,2,57945,NA,59018,61220,NA,1324,NA,NA,63222,64029,60019,27787,63222,59016,1320,NA,Sternberg Task,6,5269,6,yes,1024
100,100,818.4285714,818.4285714,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,6,0,6,6,6,0,0,0,6,6,6,0,6,6,0,NA,Sun Oct 18 19:08:55 2020,The main experiment item,yes,SternbergTask.osexp,C:/Users/JHS6-EAGLE/Desktop/OpenSes Files,no,mono,no,18,no,white,no,no,768,legacy,6,6,C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/JS-subject-1.csv,legacy,5,Lentiform Loewenfeld,3.3.3,0,n,0,right,NA,right,NA,NA,right,NA,460,NA,26462,NA,NA,460,NA,2,legacy,1,1024,2,48000,-16,experiment,1,odd,3,64032,NA,65141,67343,NA,1324,NA,NA,69347,69808,66142,27787,69346,65139,1320,NA,Sternberg Task,7,5729,7,yes,1024
100,100,803.625,803.625,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,7,0,7,7,7,0,0,0,7,7,7,0,7,7,0,NA,Sun Oct 18 19:08:55 2020,The main experiment item,yes,SternbergTask.osexp,C:/Users/JHS6-EAGLE/Desktop/OpenSes Files,no,mono,no,18,no,white,no,no,768,legacy,7,7,C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/JS-subject-1.csv,legacy,3 1 9 4,Lentiform Loewenfeld,3.3.3,0,n,0,right,NA,right,NA,NA,right,NA,700,NA,26462,NA,NA,700,NA,2,legacy,4,1024,2,48000,-16,experiment,1,odd,6,69816,NA,70890,73094,NA,1324,NA,NA,75099,75800,71893,27787,75098,70888,1320,NA,Sternberg Task,8,6429,8,yes,1024
100,100,800.4444444,800.4444444,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,right,8,0,8,8,8,0,0,0,8,8,8,0,8,8,0,NA,Sun Oct 18 19:08:55 2020,The main experiment item,yes,SternbergTask.osexp,C:/Users/JHS6-EAGLE/Desktop/OpenSes Files,no,mono,no,18,no,white,no,no,768,legacy,8,8,C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/JS-subject-1.csv,legacy,5 7 8 4 1 2,Lentiform Loewenfeld,3.3.3,0,n,0,right,NA,right,NA,NA,right,NA,775,NA,26462,NA,NA,775,NA,2,legacy,6,1024,2,48000,-16,experiment,1,odd,6,75809,NA,76888,79094,NA,1324,NA,NA,81095,81870,77889,27787,81095,76885,1320,NA,Sternberg Task,9,7204,9,yes,1024
100,100,784.8,784.8,black,practice,legacy,legacy,legacy,0,uniform,1,undefined,1,left,9,0,9,9,9,0,0,0,9,9,9,0,9,9,0,NA,Sun Oct 18 19:08:55 2020,The main experiment item,yes,SternbergTask.osexp,C:/Users/JHS6-EAGLE/Desktop/OpenSes Files,no,mono,no,18,no,white,no,no,768,legacy,9,9,C:/Users/JHS6-EAGLE/Desktop/OpenSes Files/JS-subject-1.csv,legacy,1 7 9 8 5,Lentiform Loewenfeld,3.3.3,4,y,0,left,NA,right,NA,NA,left,NA,644,NA,26462,NA,NA,644,NA,2,legacy,5,1024,2,48000,-16,experiment,1,odd,8,81875,NA,82976,85187,NA,1324,NA,NA,87188,87832,83978,27787,87188,82972,1320,NA,Sternberg Task,10,7848,10,yes,1024
