"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_keyboard_response","count_memorySet","count_new_logger","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","expyriment_opengl","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_keyboard_response","time_memorySet","time_new_logger","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","1966","1966","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/22/21 19:26:51","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant\Lab 3","yes","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/BK-subject-4.csv","legacy","1 5 2 9","Kafkaesque Koffka","3.2.8","2","y","0","left","right","NA","left","NA","1966","38389","NA","1966","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","5","43953","NA","41745","2551","NA","41748","NA","2566","NA","45955","42750","47921","40957","45955","NA","Sternberg task","1","1966","1","yes","1024"
"100","100","1608","1608","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","10/22/21 19:26:51","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant\Lab 3","yes","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/BK-subject-4.csv","legacy","1 7 9 8 5","Kafkaesque Koffka","3.2.8","4","y","0","left","right","NA","left","NA","1250","38389","NA","1250","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","8","51365","48009","49158","2551","NA","49161","NA","2566","NA","53368","50163","54618","40957","53367","NA","Sternberg task","2","3216","2","yes","1024"
"100","100","1381.66666667","1381.66666667","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","10/22/21 19:26:51","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant\Lab 3","yes","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/BK-subject-4.csv","legacy","5","Kafkaesque Koffka","3.2.8","0","n","0","right","right","NA","right","NA","929","38389","NA","929","NA","2","legacy","1","1024","2","48000","-16","experiment","4","even","3","57984","54625","55777","2551","NA","55780","NA","2566","NA","59986","56782","60916","40957","59986","NA","Sternberg task","3","4145","3","yes","1024"
"100","100","1294.75","1294.75","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","10/22/21 19:26:51","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant\Lab 3","yes","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/BK-subject-4.csv","legacy","4 3 1 7 9 8","Kafkaesque Koffka","3.2.8","1","y","0","left","right","NA","left","NA","1034","38389","NA","1034","NA","2","legacy","6","1024","2","48000","-16","experiment","4","even","4","64270","60922","62062","2551","NA","62065","NA","2566","NA","66274","63067","67309","40957","66274","NA","Sternberg task","4","5179","4","yes","1024"
"100","100","1343.6","1343.6","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","10/22/21 19:26:51","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant\Lab 3","yes","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/BK-subject-4.csv","legacy","5 7 8 4 1 2","Kafkaesque Koffka","3.2.8","0","n","0","right","right","NA","right","NA","1539","38389","NA","1539","NA","2","legacy","6","1024","2","48000","-16","experiment","4","even","6","70682","67319","68473","2551","NA","68476","NA","2566","NA","72685","69479","74225","40957","72685","NA","Sternberg task","5","6718","5","yes","1024"
"83.3333333333","83.3333333333","1453","1453","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","10/22/21 19:26:51","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant\Lab 3","yes","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/BK-subject-4.csv","legacy","4 8","Kafkaesque Koffka","3.2.8","1","y","0","None","right","NA","None","NA","2000","38389","NA","2000","NA","2","legacy","2","1024","2","48000","-16","experiment","4","even","4","77599","74237","75392","2551","NA","75394","NA","2566","NA","79603","76397","81603","40957","79603","NA","Sternberg task","5","8718","6","yes","1024"
"85.7142857143","85.7142857143","1458","1458","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","10/22/21 19:26:51","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant\Lab 3","yes","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/BK-subject-4.csv","legacy","4 1 5","Kafkaesque Koffka","3.2.8","0","n","0","right","right","NA","right","NA","1488","38389","NA","1488","NA","2","legacy","3","1024","2","48000","-16","experiment","4","even","2","84978","74237","82769","2551","NA","82772","81613","2566","NA","86981","83775","88470","40957","86981","NA","Sternberg task","6","10206","7","yes","1024"
"87.5","87.5","1441.25","1441.25","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","10/22/21 19:26:51","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant\Lab 3","yes","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/BK-subject-4.csv","legacy","9 6 7 4 5","Kafkaesque Koffka","3.2.8","0","n","0","right","right","NA","right","NA","1324","38389","NA","1324","NA","2","legacy","5","1024","2","48000","-16","experiment","4","even","3","91853","88484","89644","2551","NA","89647","81613","2566","NA","93856","90650","95181","40957","93856","NA","Sternberg task","7","11530","8","yes","1024"
"88.8888888889","88.8888888889","1419.33333333","1419.33333333","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","10/22/21 19:26:51","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant\Lab 3","yes","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/BK-subject-4.csv","legacy","2 1","Kafkaesque Koffka","3.2.8","0","n","0","right","right","NA","right","NA","1244","38389","NA","1244","NA","2","legacy","2","1024","2","48000","-16","experiment","4","even","5","98565","95193","96356","2551","NA","96359","81613","2566","NA","100568","97362","101813","40957","100568","NA","Sternberg task","8","12774","9","yes","1024"
"90","90","1380.3","1380.3","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","10/22/21 19:26:51","The main experiment item","yes","Sternbergtask.osexp","C:\Users\Brian\Desktop\College - Graduate\Graduate Work\Advanced Quant\Lab 3","yes","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/Brian/Desktop/College - Graduate/Graduate Work/Advanced Quant/Lab 3/BK-subject-4.csv","legacy","3 1 9 4","Kafkaesque Koffka","3.2.8","0","n","0","right","right","NA","right","NA","1029","38389","NA","1029","NA","2","legacy","4","1024","2","48000","-16","experiment","4","even","6","105177","101823","102968","2551","NA","102971","81613","2566","NA","107180","103974","108209","40957","107180","NA","Sternberg task","9","13803","10","yes","1024"
