"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_experiment","count_experimentalLoop","count_expsequence","count_fixation","count_incorrectFeedback","count_instruction1","count_instruction2","count_instruction3","count_keyboard_response","count_logger","count_memoryset","count_practiceloop","count_probe","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceloop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instruction2","response_instruction3","response_keyboard_response","response_time","response_time_instruction1","response_time_instruction2","response_time_instruction3","response_time_keyboard_response","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_experiment","time_experimentalLoop","time_expsequence","time_fixation","time_incorrectFeedback","time_instruction1","time_instruction2","time_instruction3","time_keyboard_response","time_logger","time_memoryset","time_practiceloop","time_probe","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","599","599","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/23/22 19:58:15","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-3.csv","legacy","1 7 9 8 5","Lentiform Loewenfeld","3.3.12","4","y","0","left","left","NA","NA","left","599","52600","NA","NA","599","2","legacy","5","1024","2","48000","-16","experiment","3","odd","8","58270","NA","2536","NA","56066","56068","NA","2540","NA","NA","60272","60871","57069","55142","60272","Sternberg Task","1","599","1","yes","1024"
"50","50","464","464","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","1","1","0","0","1","1","1","0","0","0","1","1","1","0","1","10/23/22 19:58:15","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-3.csv","legacy","2 1","Lentiform Loewenfeld","3.3.12","0","n","0","left","left","NA","NA","left","329","52600","NA","NA","329","2","legacy","2","1024","2","48000","-16","experiment","3","odd","5","64197","60924","2536","NA","61992","61994","NA","2540","NA","NA","66199","66529","62996","55142","66198","Sternberg Task","1","928","2","yes","1024"
"66.6666666667","66.6666666667","455","455","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","2","2","0","0","2","2","2","0","0","0","2","2","2","0","2","10/23/22 19:58:15","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-3.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.12","0","n","0","right","left","NA","NA","right","437","52600","NA","NA","437","2","legacy","4","1024","2","48000","-16","experiment","3","odd","6","69807","60924","2536","NA","67603","67605","66535","2540","NA","NA","71808","72246","68606","55142","71808","Sternberg Task","2","1365","3","yes","1024"
"50","50","641.25","641.25","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","3","3","0","0","3","3","3","0","0","0","3","3","3","0","3","10/23/22 19:58:15","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-3.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.12","3","y","0","right","left","NA","NA","right","1200","52600","NA","NA","1200","2","legacy","3","1024","2","48000","-16","experiment","3","odd","4","75525","72252","2536","NA","73320","73322","66535","2540","NA","NA","77527","78728","74324","55142","77526","Sternberg Task","2","2565","4","yes","1024"
"60","60","592.6","592.6","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","4","4","0","0","4","4","4","0","0","0","4","4","4","0","4","10/23/22 19:58:15","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-3.csv","legacy","5","Lentiform Loewenfeld","3.3.12","0","n","0","right","left","NA","NA","right","398","52600","NA","NA","398","2","legacy","1","1024","2","48000","-16","experiment","3","odd","3","82005","72252","2536","NA","79800","79802","78734","2540","NA","NA","84007","84406","80804","55142","84006","Sternberg Task","3","2963","5","yes","1024"
"66.6666666667","66.6666666667","628.5","628.5","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","5","5","0","0","5","5","5","0","0","0","5","5","5","0","5","10/23/22 19:58:15","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-3.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.12","0","n","0","right","left","NA","NA","right","808","52600","NA","NA","808","2","legacy","6","1024","2","48000","-16","experiment","3","odd","6","87679","84412","2536","NA","85475","85477","78734","2540","NA","NA","89681","90489","86478","55142","89680","Sternberg Task","4","3771","6","yes","1024"
"71.4285714286","71.4285714286","603.285714286","603.285714286","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","6","6","0","0","6","6","6","0","0","0","6","6","6","0","6","10/23/22 19:58:15","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-3.csv","legacy","6","Lentiform Loewenfeld","3.3.12","1","y","0","left","left","NA","NA","left","452","52600","NA","NA","452","2","legacy","1","1024","2","48000","-16","experiment","3","odd","6","93764","90495","2536","NA","91560","91562","78734","2540","NA","NA","95765","96218","92563","55142","95765","Sternberg Task","5","4223","7","yes","1024"
"62.5","62.5","777.875","777.875","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","7","7","0","0","7","7","7","0","0","0","7","7","7","0","7","10/23/22 19:58:15","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-3.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.12","0","n","0","None","left","NA","NA","None","2000","52600","NA","NA","2000","2","legacy","5","1024","2","48000","-16","experiment","3","odd","3","99490","96224","2536","NA","97286","97288","78734","2540","NA","NA","101493","103493","98289","55142","101493","Sternberg Task","5","6223","8","yes","1024"
"55.5555555556","55.5555555556","913.666666667","913.666666667","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","8","8","0","0","8","8","8","0","0","0","8","8","8","0","8","10/23/22 19:58:15","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-3.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.12","0","n","0","None","left","NA","NA","None","2000","52600","NA","NA","2000","2","legacy","3","1024","2","48000","-16","experiment","3","odd","2","106774","96224","2536","NA","104569","104571","103499","2540","NA","NA","108775","110775","105573","55142","108775","Sternberg Task","5","8223","9","yes","1024"
"60","60","887.6","887.6","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","9","9","0","0","9","9","9","0","0","0","9","9","9","0","9","10/23/22 19:58:15","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-3.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.12","2","y","0","left","left","NA","NA","left","653","52600","NA","NA","653","2","legacy","4","1024","2","48000","-16","experiment","3","odd","5","114049","96224","2536","NA","111844","111846","110781","2540","NA","NA","116050","116704","112847","55142","116050","Sternberg Task","6","8876","10","yes","1024"
"54.5454545455","54.5454545455","988.727272727","988.727272727","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","10","10","0","0","10","10","10","0","0","0","10","10","10","0","10","10/23/22 19:58:15","The main experiment item","yes","SternbergTask.osexp","C:/Users/casme/OneDrive/Desktop/Fall 2022","no","mono","no","18","no","white","no","yes","768","legacy","10","10","C:/Users/casme/OneDrive/Desktop/Fall 2022/IC-subjectx-3.csv","legacy","4 8","Lentiform Loewenfeld","3.3.12","1","y","0","None","left","NA","NA","None","2000","52600","NA","NA","2000","2","legacy","2","1024","2","48000","-16","experiment","3","odd","4","119976","116709","2536","NA","117772","117774","110781","2540","NA","NA","121977","123977","118775","55142","121977","Sternberg Task","6","10876","11","yes","1024"
