"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","correct","correct_instruction1","correct_new_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_memorySet","count_new_keyboard_response","count_new_logger","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_new_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_new_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_memorySet","time_new_keyboard_response","time_new_logger","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","width"
"100","100","924","924","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sun Oct 15 16:34:24 2023","The main experiment item","False","SternbergTask.osexp","/Users/xaleyelyse/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","0","0","/Users/xaleyelyse/Downloads/XWsubject_1.csv","legacy","3 1 9 4","Melodramatic Milgram","4.0.5","0","n","0","right","left","NA","right","NA","924.0","23694","NA","924","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","6","28579","NA","26367","2281","NA","26373","NA","2347","NA","27376","30581","31506","26066","30581","NA","Sternberg Task","1","924.0","1","1024"
"100","100","824","824","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","Sun Oct 15 16:34:24 2023","The main experiment item","False","SternbergTask.osexp","/Users/xaleyelyse/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","1","1","/Users/xaleyelyse/Downloads/XWsubject_1.csv","legacy","2 1","Melodramatic Milgram","4.0.5","0","n","0","right","left","NA","right","NA","725.0","23694","NA","725","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","5","34778","31531","32568","2281","NA","32573","NA","2347","NA","33575","36781","37510","26066","36780","NA","Sternberg Task","2","1649.0","2","1024"
"100","100","715","715","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","Sun Oct 15 16:34:24 2023","The main experiment item","False","SternbergTask.osexp","/Users/xaleyelyse/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","2","2","/Users/xaleyelyse/Downloads/XWsubject_1.csv","legacy","4 3 1 7 9 8","Melodramatic Milgram","4.0.5","1","y","0","left","left","NA","left","NA","498.0","23694","NA","498","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","4","40759","37512","38552","2281","NA","38554","NA","2347","NA","39556","42761","43259","26066","42761","NA","Sternberg Task","3","2147.0","3","1024"
"100","100","715","715","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","Sun Oct 15 16:34:24 2023","The main experiment item","False","SternbergTask.osexp","/Users/xaleyelyse/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","3","3","/Users/xaleyelyse/Downloads/XWsubject_1.csv","legacy","2 9 4","Melodramatic Milgram","4.0.5","3","y","0","left","left","NA","left","NA","715.0","23694","NA","715","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","4","46506","43263","44299","2281","NA","44302","NA","2347","NA","45304","48510","49225","26066","48509","NA","Sternberg Task","4","2862.0","4","1024"
"100","100","731","731","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","Sun Oct 15 16:34:24 2023","The main experiment item","False","SternbergTask.osexp","/Users/xaleyelyse/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","4","4","/Users/xaleyelyse/Downloads/XWsubject_1.csv","legacy","1 7 9 8 5","Melodramatic Milgram","4.0.5","4","y","0","left","left","NA","left","NA","797.0","23694","NA","797","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","8","52475","49229","50268","2281","NA","50270","NA","2347","NA","51272","54477","55274","26066","54477","NA","Sternberg Task","5","3659.0","5","1024"
"100","100","680","680","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","Sun Oct 15 16:34:24 2023","The main experiment item","False","SternbergTask.osexp","/Users/xaleyelyse/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","5","5","/Users/xaleyelyse/Downloads/XWsubject_1.csv","legacy","4 8","Melodramatic Milgram","4.0.5","1","y","0","left","left","NA","left","NA","426.0","23694","NA","426","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","4","58523","55277","56315","2281","NA","56318","NA","2347","NA","57320","60526","60953","26066","60526","NA","Sternberg Task","6","4085.0","6","1024"
"100","100","666","666","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","Sun Oct 15 16:34:24 2023","The main experiment item","False","SternbergTask.osexp","/Users/xaleyelyse/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","6","6","/Users/xaleyelyse/Downloads/XWsubject_1.csv","legacy","5 7 8 4 1 2","Melodramatic Milgram","4.0.5","0","n","0","right","left","NA","right","NA","577.0","23694","NA","577","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","6","64209","60956","62002","2281","NA","62004","NA","2347","NA","63006","66211","66789","26066","66211","NA","Sternberg Task","7","4662.0","7","1024"
"100","100","646","646","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","Sun Oct 15 16:34:24 2023","The main experiment item","False","SternbergTask.osexp","/Users/xaleyelyse/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","7","7","/Users/xaleyelyse/Downloads/XWsubject_1.csv","legacy","9 6 7 4 5","Melodramatic Milgram","4.0.5","0","n","0","right","left","NA","right","NA","506.0","23694","NA","506","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","3","70023","66791","67817","2281","NA","67819","NA","2347","NA","68821","72026","72533","26066","72026","NA","Sternberg Task","8","5168.0","8","1024"
"100","100","644","644","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","right","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","Sun Oct 15 16:34:24 2023","The main experiment item","False","SternbergTask.osexp","/Users/xaleyelyse/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","8","8","/Users/xaleyelyse/Downloads/XWsubject_1.csv","legacy","5","Melodramatic Milgram","4.0.5","0","n","0","right","left","NA","right","NA","633.0","23694","NA","633","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","3","75774","72536","73568","2281","NA","73570","NA","2347","NA","74572","77776","78410","26066","77776","NA","Sternberg Task","9","5801.0","9","1024"
"100","100","634","634","#3d3846","practice","legacy","legacy","legacy","1","undefined","1","left","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","Sun Oct 15 16:34:24 2023","The main experiment item","False","SternbergTask.osexp","/Users/xaleyelyse/Desktop","False","mono","False","18","no","white","no","yes","768","legacy","9","9","/Users/xaleyelyse/Downloads/XWsubject_1.csv","legacy","1 5 2 9","Melodramatic Milgram","4.0.5","2","y","0","left","left","NA","left","NA","542.0","23694","NA","542","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","5","81656","78413","79449","2281","NA","79451","NA","2347","NA","80453","83658","84200","26066","83658","NA","Sternberg Task","10","6343.0","10","1024"
