"acc","accuracy","average_response_time","avg_rt","background","block","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_instruction1","correct_keyboard_response","correct_response","count_ISI","count_correctFeedback","count_expSequence","count_experiment","count_experimentLoop","count_fixation","count_incorrectFeedback","count_instruction1","count_instructions2","count_keyboard_response","count_memorySet","count_new_logger","count_practiceLoop","count_probe","count_thankYou","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practiceLoop","logfile","mouse_backend","numberSet","opensesame_codename","opensesame_version","posInSet","present","repeat_cycle","response","response_instruction1","response_instructions2","response_keyboard_response","response_thankYou","response_time","response_time_instruction1","response_time_instructions2","response_time_keyboard_response","response_time_thankYou","round_decimals","sampler_backend","setSize","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","target","time_ISI","time_correctFeedback","time_expSequence","time_experiment","time_experimentLoop","time_fixation","time_incorrectFeedback","time_instruction1","time_instructions2","time_keyboard_response","time_memorySet","time_new_logger","time_practiceLoop","time_probe","time_thankYou","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"100","100","875","875","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10/23/21 14:26:03","The main experiment item","yes","SternbergExperiment.osexp","C:\Users\katie\Documents\School\Quant Methods\Lab 3","no","mono","no","18","no","white","no","yes","768","legacy","0","0","C:/Users/katie/Documents/School/Quant Methods/Lab 3/KH-subject-3.csv","legacy","5 7 8 4 1 2","Lentiform Loewenfeld","3.3.9","0","n","0","right","space","NA","right","NA","875","85546","NA","875","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","6","91600","NA","89395","3127","NA","89397","NA","3130","NA","93603","90399","94479","88679","93603","NA","Sternberg task","1","875","1","yes","1024"
"100","100","837","837","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","1","1","1","0","0","1","1","0","0","1","1","1","0","1","0","10/23/21 14:26:03","The main experiment item","yes","SternbergExperiment.osexp","C:\Users\katie\Documents\School\Quant Methods\Lab 3","no","mono","no","18","no","white","no","yes","768","legacy","1","1","C:/Users/katie/Documents/School/Quant Methods/Lab 3/KH-subject-3.csv","legacy","3 1 9 4","Lentiform Loewenfeld","3.3.9","0","n","0","right","space","NA","right","NA","799","85546","NA","799","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","6","97822","94541","95617","3127","NA","95619","NA","3130","NA","99823","96620","100622","88679","99823","NA","Sternberg task","2","1674","2","yes","1024"
"100","100","743.666666667","743.666666667","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","2","2","2","0","0","2","2","0","0","2","2","2","0","2","0","10/23/21 14:26:03","The main experiment item","yes","SternbergExperiment.osexp","C:\Users\katie\Documents\School\Quant Methods\Lab 3","no","mono","no","18","no","white","no","yes","768","legacy","2","2","C:/Users/katie/Documents/School/Quant Methods/Lab 3/KH-subject-3.csv","legacy","4 3 1 7 9 8","Lentiform Loewenfeld","3.3.9","1","y","0","left","space","NA","left","NA","557","85546","NA","557","NA","2","legacy","6","1024","2","48000","-16","experiment","1","odd","4","103890","100627","101684","3127","NA","101686","NA","3130","NA","105892","102688","106450","88679","105892","NA","Sternberg task","3","2231","3","yes","1024"
"100","100","675.75","675.75","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","3","3","3","0","0","3","3","0","0","3","3","3","0","3","0","10/23/21 14:26:03","The main experiment item","yes","SternbergExperiment.osexp","C:\Users\katie\Documents\School\Quant Methods\Lab 3","no","mono","no","18","no","white","no","yes","768","legacy","3","3","C:/Users/katie/Documents/School/Quant Methods/Lab 3/KH-subject-3.csv","legacy","1 5 2 9","Lentiform Loewenfeld","3.3.9","2","y","0","left","space","NA","left","NA","472","85546","NA","472","NA","2","legacy","4","1024","2","48000","-16","experiment","1","odd","5","109775","106455","107568","3127","NA","107571","NA","3130","NA","111776","108573","112249","88679","111776","NA","Sternberg task","4","2703","4","yes","1024"
"80","80","660.2","660.2","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","left","4","4","4","0","0","4","4","0","0","4","4","4","0","4","0","10/23/21 14:26:03","The main experiment item","yes","SternbergExperiment.osexp","C:\Users\katie\Documents\School\Quant Methods\Lab 3","no","mono","no","18","no","white","no","yes","768","legacy","4","4","C:/Users/katie/Documents/School/Quant Methods/Lab 3/KH-subject-3.csv","legacy","6","Lentiform Loewenfeld","3.3.9","1","y","0","right","space","NA","right","NA","598","85546","NA","598","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","6","115554","112259","113348","3127","NA","113351","NA","3130","NA","117556","114353","118155","88679","117556","NA","Sternberg task","4","3301","5","yes","1024"
"83.3333333333","83.3333333333","713.833333333","713.833333333","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","5","5","5","0","0","5","5","0","0","5","5","5","0","5","0","10/23/21 14:26:03","The main experiment item","yes","SternbergExperiment.osexp","C:\Users\katie\Documents\School\Quant Methods\Lab 3","no","mono","no","18","no","white","no","yes","768","legacy","5","5","C:/Users/katie/Documents/School/Quant Methods/Lab 3/KH-subject-3.csv","legacy","4 1 5","Lentiform Loewenfeld","3.3.9","0","n","0","right","space","NA","right","NA","982","85546","NA","982","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","2","121430","112259","119225","3127","NA","119227","118159","3130","NA","123432","120228","124414","88679","123432","NA","Sternberg task","5","4283","6","yes","1024"
"85.7142857143","85.7142857143","703.142857143","703.142857143","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","right","6","6","6","0","0","6","6","0","0","6","6","6","0","6","0","10/23/21 14:26:03","The main experiment item","yes","SternbergExperiment.osexp","C:\Users\katie\Documents\School\Quant Methods\Lab 3","no","mono","no","18","no","white","no","yes","768","legacy","6","6","C:/Users/katie/Documents/School/Quant Methods/Lab 3/KH-subject-3.csv","legacy","9 6 7 4 5","Lentiform Loewenfeld","3.3.9","0","n","0","right","space","NA","right","NA","639","85546","NA","639","NA","2","legacy","5","1024","2","48000","-16","experiment","1","odd","3","127681","124418","125477","3127","NA","125479","118159","3130","NA","129683","126480","130323","88679","129683","NA","Sternberg task","6","4922","7","yes","1024"
"87.5","87.5","736.125","736.125","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","7","7","7","0","0","7","7","0","0","7","7","7","0","7","0","10/23/21 14:26:03","The main experiment item","yes","SternbergExperiment.osexp","C:\Users\katie\Documents\School\Quant Methods\Lab 3","no","mono","no","18","no","white","no","yes","768","legacy","7","7","C:/Users/katie/Documents/School/Quant Methods/Lab 3/KH-subject-3.csv","legacy","2 9 4","Lentiform Loewenfeld","3.3.9","3","y","0","left","space","NA","left","NA","967","85546","NA","967","NA","2","legacy","3","1024","2","48000","-16","experiment","1","odd","4","133597","130327","131391","3127","NA","131393","118159","3130","NA","135600","132395","136568","88679","135599","NA","Sternberg task","7","5889","8","yes","1024"
"88.8888888889","88.8888888889","709.222222222","709.222222222","black","practice","legacy","legacy","legacy","0","uniform","1","undefined","1","left","8","8","8","0","0","8","8","0","0","8","8","8","0","8","0","10/23/21 14:26:03","The main experiment item","yes","SternbergExperiment.osexp","C:\Users\katie\Documents\School\Quant Methods\Lab 3","no","mono","no","18","no","white","no","yes","768","legacy","8","8","C:/Users/katie/Documents/School/Quant Methods/Lab 3/KH-subject-3.csv","legacy","4 8","Lentiform Loewenfeld","3.3.9","1","y","0","left","space","NA","left","NA","494","85546","NA","494","NA","2","legacy","2","1024","2","48000","-16","experiment","1","odd","4","139878","136573","137672","3127","NA","137674","118159","3130","NA","141880","138675","142375","88679","141880","NA","Sternberg task","8","6383","9","yes","1024"
"80","80","838.3","838.3","black","practice","legacy","legacy","legacy","0","uniform","0","undefined","0","right","9","9","9","0","0","9","9","0","0","9","9","9","0","9","0","10/23/21 14:26:03","The main experiment item","yes","SternbergExperiment.osexp","C:\Users\katie\Documents\School\Quant Methods\Lab 3","no","mono","no","18","no","white","no","yes","768","legacy","9","9","C:/Users/katie/Documents/School/Quant Methods/Lab 3/KH-subject-3.csv","legacy","5","Lentiform Loewenfeld","3.3.9","0","n","0","None","space","NA","None","NA","2000","85546","NA","2000","NA","2","legacy","1","1024","2","48000","-16","experiment","1","odd","3","145693","142381","143488","3127","NA","143490","118159","3130","NA","147695","144493","149695","88679","147695","NA","Sternberg task","8","8383","10","yes","1024"
