acc,accuracy,average_response_time,avg_rt,background,bidi,canvas_backend,clock_backend,color_backend,compensation,condition,coordinates,correct,correct_instructions1,correct_keyboard_response,correct_response,count_Block1,count_Block2,count_Block3,count_ISI,count_errorFeedback,count_experiment,count_faster,count_finish,count_fixation,count_instructions1,count_instructions2,count_instructions3,count_keyboard_response,count_new_logger,count_sequence,count_stimulus,datetime,deadline,description,disable_garbage_collection,experiment_file,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,keyboard_backend,live_row,live_row_Block1,logfile,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_finish,response_instructions1,response_instructions2,response_instructions3,response_keyboard_response,response_time,response_time_finish,response_time_instructions1,response_time_instructions2,response_time_instructions3,response_time_keyboard_response,round_decimals,sampler_backend,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stimulus,subject_nr,subject_parity,time_Block1,time_Block2,time_Block3,time_ISI,time_errorFeedback,time_experiment,time_faster,time_finish,time_fixation,time_instructions1,time_instructions2,time_instructions3,time_keyboard_response,time_new_logger,time_sequence,time_stimulus,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,1385,1385,black,no,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tue Sep 24 12:50:53 2019,1500,The main experiment item,yes,FlankerTaskKBowman.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2,no,mono,no,18,no,white,no,yes,768,legacy,0,0,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2/KB-subject-4-F23.csv,legacy,Kafkaesque Koffka,3.2.6,0,h,NA,s,NA,NA,h,1385,NA,44876,NA,NA,1385,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,46490,NA,NA,NA,NA,1599,NA,NA,46587,1611,NA,NA,46698,48085,46576,46697,FlankerTaskKBowman,1,1385,1,yes,1024
100,100,956,956,black,no,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,1,1,0,1,0,1,0,0,0,1,1,1,1,Tue Sep 24 12:50:53 2019,1500,The main experiment item,yes,FlankerTaskKBowman.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2,no,mono,no,18,no,white,no,yes,768,legacy,1,1,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2/KB-subject-4-F23.csv,legacy,Kafkaesque Koffka,3.2.6,0,h,NA,s,NA,NA,h,527,NA,44876,NA,NA,527,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,46490,NA,NA,48102,NA,1599,NA,NA,49208,1611,NA,NA,49320,49849,49197,49320,FlankerTaskKBowman,2,1912,2,yes,1024
100,100,873.6666667,873.6666667,black,no,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,2,2,0,2,0,2,0,0,0,2,2,2,2,Tue Sep 24 12:50:53 2019,1500,The main experiment item,yes,FlankerTaskKBowman.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2,no,mono,no,18,no,white,no,yes,768,legacy,2,2,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2/KB-subject-4-F23.csv,legacy,Kafkaesque Koffka,3.2.6,0,h,NA,s,NA,NA,h,709,NA,44876,NA,NA,709,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,46490,NA,NA,49862,NA,1599,NA,NA,50964,1611,NA,NA,51075,51787,50953,51075,FlankerTaskKBowman,3,2621,3,yes,1024
100,100,817.25,817.25,black,no,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,3,3,0,3,0,3,0,0,0,3,3,3,3,Tue Sep 24 12:50:53 2019,1500,The main experiment item,yes,FlankerTaskKBowman.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2,no,mono,no,18,no,white,no,yes,768,legacy,3,3,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2/KB-subject-4-F23.csv,legacy,Kafkaesque Koffka,3.2.6,0,s,NA,s,NA,NA,s,648,NA,44876,NA,NA,648,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,46490,NA,NA,51799,NA,1599,NA,NA,52901,1611,NA,NA,53012,53663,52891,53012,FlankerTaskKBowman,4,3269,4,yes,1024
100,100,757.8,757.8,black,no,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,4,4,0,4,0,4,0,0,0,4,4,4,4,Tue Sep 24 12:50:53 2019,1500,The main experiment item,yes,FlankerTaskKBowman.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2,no,mono,no,18,no,white,no,yes,768,legacy,4,4,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2/KB-subject-4-F23.csv,legacy,Kafkaesque Koffka,3.2.6,0,s,NA,s,NA,NA,s,520,NA,44876,NA,NA,520,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,46490,NA,NA,53676,NA,1599,NA,NA,54778,1611,NA,NA,54889,55411,54767,54889,FlankerTaskKBowman,5,3789,5,yes,1024
100,100,711.5,711.5,black,no,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,5,5,0,5,0,5,0,0,0,5,5,5,5,Tue Sep 24 12:50:53 2019,1500,The main experiment item,yes,FlankerTaskKBowman.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2,no,mono,no,18,no,white,no,yes,768,legacy,5,5,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2/KB-subject-4-F23.csv,legacy,Kafkaesque Koffka,3.2.6,0,s,NA,s,NA,NA,s,480,NA,44876,NA,NA,480,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,46490,NA,NA,55424,NA,1599,NA,NA,56525,1611,NA,NA,56636,57118,56514,56635,FlankerTaskKBowman,6,4269,6,yes,1024
100,100,674.2857143,674.2857143,black,no,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,s,0,0,0,6,6,0,6,0,6,0,0,0,6,6,6,6,Tue Sep 24 12:50:53 2019,1500,The main experiment item,yes,FlankerTaskKBowman.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2,no,mono,no,18,no,white,no,yes,768,legacy,6,6,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2/KB-subject-4-F23.csv,legacy,Kafkaesque Koffka,3.2.6,0,s,NA,s,NA,NA,s,451,NA,44876,NA,NA,451,2,legacy,1024,2,48000,-16,experiment,HHSHH,4,even,46490,NA,NA,57131,NA,1599,NA,NA,58235,1611,NA,NA,58346,58799,58224,58345,FlankerTaskKBowman,7,4720,7,yes,1024
100,100,673.125,673.125,black,no,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,s,0,0,0,7,7,0,7,0,7,0,0,0,7,7,7,7,Tue Sep 24 12:50:53 2019,1500,The main experiment item,yes,FlankerTaskKBowman.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2,no,mono,no,18,no,white,no,yes,768,legacy,7,7,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2/KB-subject-4-F23.csv,legacy,Kafkaesque Koffka,3.2.6,0,s,NA,s,NA,NA,s,665,NA,44876,NA,NA,665,2,legacy,1024,2,48000,-16,experiment,SSSSS,4,even,46490,NA,NA,58812,NA,1599,NA,NA,59913,1611,NA,NA,60024,60692,59902,60024,FlankerTaskKBowman,8,5385,8,yes,1024
100,100,672.1111111,672.1111111,black,no,legacy,legacy,legacy,0,incongruent,uniform,1,undefined,1,h,0,0,0,8,8,0,8,0,8,0,0,0,8,8,8,8,Tue Sep 24 12:50:53 2019,1500,The main experiment item,yes,FlankerTaskKBowman.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2,no,mono,no,18,no,white,no,yes,768,legacy,8,8,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2/KB-subject-4-F23.csv,legacy,Kafkaesque Koffka,3.2.6,0,h,NA,s,NA,NA,h,664,NA,44876,NA,NA,664,2,legacy,1024,2,48000,-16,experiment,SSHSS,4,even,46490,NA,NA,60705,NA,1599,NA,NA,61807,1611,NA,NA,61918,62584,61797,61918,FlankerTaskKBowman,9,6049,9,yes,1024
100,100,653.9,653.9,black,no,legacy,legacy,legacy,0,congruent,uniform,1,undefined,1,h,0,0,0,9,9,0,9,0,9,0,0,0,9,9,9,9,Tue Sep 24 12:50:53 2019,1500,The main experiment item,yes,FlankerTaskKBowman.osexp,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2,no,mono,no,18,no,white,no,yes,768,legacy,9,9,/Users/KrisBow/Dropbox/GradSchoolTarleton/Fall2019/AdvQuant/Lab2/KB-subject-4-F23.csv,legacy,Kafkaesque Koffka,3.2.6,0,h,NA,s,NA,NA,h,490,NA,44876,NA,NA,490,2,legacy,1024,2,48000,-16,experiment,HHHHH,4,even,46490,NA,NA,62597,NA,1599,NA,NA,63698,1611,NA,NA,63809,64301,63688,63809,FlankerTaskKBowman,10,6539,10,yes,1024
